period,date,series,index,annual_change,monthly_change,series_type,series_id
2024-04-01,2024-04-01,Goods,97.75,,,Original,A130397424J
2024-05-01,2024-05-01,Goods,97.47,,-0.29,Original,A130397424J
2024-06-01,2024-06-01,Goods,97.23,,-0.25,Original,A130397424J
2024-07-01,2024-07-01,Goods,97.65,,0.43,Original,A130397424J
2024-08-01,2024-08-01,Goods,97.08,,-0.58,Original,A130397424J
2024-09-01,2024-09-01,Goods,96.47,,-0.63,Original,A130397424J
2024-10-01,2024-10-01,Goods,96.27,,-0.21,Original,A130397424J
2024-11-01,2024-11-01,Goods,96.89,,0.64,Original,A130397424J
2024-12-01,2024-12-01,Goods,96.73,,-0.17,Original,A130397424J
2025-01-01,2025-01-01,Goods,97.6,,0.9,Original,A130397424J
2025-02-01,2025-02-01,Goods,98.01,,0.42,Original,A130397424J
2025-03-01,2025-03-01,Goods,98.26,,0.26,Original,A130397424J
2025-04-01,2025-04-01,Goods,98.66,0.93,0.41,Original,A130397424J
2025-05-01,2025-05-01,Goods,98.49,1.05,-0.17,Original,A130397424J
2025-06-01,2025-06-01,Goods,98.39,1.19,-0.1,Original,A130397424J
2025-07-01,2025-07-01,Goods,99.97,2.38,1.61,Original,A130397424J
2025-08-01,2025-08-01,Goods,99.99,3.0,0.02,Original,A130397424J
2025-09-01,2025-09-01,Goods,100.0,3.66,0.01,Original,A130397424J
2025-10-01,2025-10-01,Goods,99.89,3.76,-0.11,Original,A130397424J
2025-11-01,2025-11-01,Goods,100.1,3.31,0.21,Original,A130397424J
2025-12-01,2025-12-01,Goods,100.06,3.44,-0.04,Original,A130397424J
2026-01-01,2026-01-01,Goods,101.33,3.82,1.27,Original,A130397424J
2026-02-01,2026-02-01,Goods,101.48,3.54,0.15,Original,A130397424J
2026-03-01,2026-03-01,Goods,103.62,5.45,2.11,Original,A130397424J
2024-04-01,2024-04-01,Services,94.8,,,Original,A130396114J
2024-05-01,2024-05-01,Services,94.65,,-0.16,Original,A130396114J
2024-06-01,2024-06-01,Services,95.67,,1.08,Original,A130396114J
2024-07-01,2024-07-01,Services,95.73,,0.06,Original,A130396114J
2024-08-01,2024-08-01,Services,95.79,,0.06,Original,A130396114J
2024-09-01,2024-09-01,Services,96.59,,0.84,Original,A130396114J
2024-10-01,2024-10-01,Services,96.34,,-0.26,Original,A130396114J
2024-11-01,2024-11-01,Services,96.41,,0.07,Original,A130396114J
2024-12-01,2024-12-01,Services,97.95,,1.6,Original,A130396114J
2025-01-01,2025-01-01,Services,97.56,,-0.4,Original,A130396114J
2025-02-01,2025-02-01,Services,97.29,,-0.28,Original,A130396114J
2025-03-01,2025-03-01,Services,97.62,,0.34,Original,A130396114J
2025-04-01,2025-04-01,Services,98.71,4.12,1.12,Original,A130396114J
2025-05-01,2025-05-01,Services,97.87,3.4,-0.85,Original,A130396114J
2025-06-01,2025-06-01,Services,98.28,2.73,0.42,Original,A130396114J
2025-07-01,2025-07-01,Services,99.24,3.67,0.98,Original,A130396114J
2025-08-01,2025-08-01,Services,99.07,3.42,-0.17,Original,A130396114J
2025-09-01,2025-09-01,Services,100.0,3.53,0.94,Original,A130396114J
2025-10-01,2025-10-01,Services,100.1,3.9,0.1,Original,A130396114J
2025-11-01,2025-11-01,Services,99.91,3.63,-0.19,Original,A130396114J
2025-12-01,2025-12-01,Services,101.99,4.12,2.08,Original,A130396114J
2026-01-01,2026-01-01,Services,101.32,3.85,-0.66,Original,A130396114J
2026-02-01,2026-02-01,Services,101.13,3.95,-0.19,Original,A130396114J
2026-03-01,2026-03-01,Services,101.13,3.6,0.0,Original,A130396114J
